# question_id|K/D|drop_category|required_content(;)|evidence(code:ST/EX/CE/AC:reason ;; ...)|out_of_scope_dependency(;)|rationale|review_reasons(;)
# 공식 교육과정 최종 감사 의미 판정 기록 (pilot 30 + batch 231, 선지 포함 원문 판독)
2020_SEPTEMBER_Q17|D|PHIL_JUSTICE|롤스·노직(및 공리주의·마르크스·아리스토텔레스) 분배 정의론 비교||원초적 입장 당사자 조건(상호 무관심·일반적 사실 인지);차등 원칙·공정한 기회균등의 세부;순수 절차적 정의;노직 취득·이전·교정 원리와 정형적/역사적 원리 구분;최소 국가론;재산 소유 민주주의;아리스토텔레스 비례적 정의;마르크스 필요에 따른 분배|선지 판단이 롤스·노직 등 특정 철학자의 이론 세부로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교 수준을 넘어섬.|
2021_JUNE_Q07|D|PHIL_JUSTICE|롤스·노직(및 공리주의·마르크스·아리스토텔레스) 분배 정의론 비교||원초적 입장 당사자 조건(상호 무관심·일반적 사실 인지);차등 원칙·공정한 기회균등의 세부;순수 절차적 정의;노직 취득·이전·교정 원리와 정형적/역사적 원리 구분;최소 국가론;재산 소유 민주주의;아리스토텔레스 비례적 정의;마르크스 필요에 따른 분배|선지 판단이 롤스·노직 등 특정 철학자의 이론 세부로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교 수준을 넘어섬.|
2014_JUNE_Q19|D|PHIL_JUSTICE|분배 방식 표/그래프에 롤스·공리주의 기준 적용||롤스 차등 원칙(최소 수혜자 최대 이익)·무지의 베일에서의 선택 원리;공리주의 총합 극대화|자료 해석 자체는 가능하나 정답 기준(최소 수혜자 최대 이익 원리)이 롤스 차등 원칙이며 교육과정의 분배 기준(업적·능력·필요)에 포함되지 않음.|자료 해석형으로 범위 경계
2014_SEPTEMBER_Q11|D|PHIL_JUSTICE|분배 방식 표/그래프에 롤스·공리주의 기준 적용||롤스 차등 원칙(최소 수혜자 최대 이익)·무지의 베일에서의 선택 원리;공리주의 총합 극대화|자료 해석 자체는 가능하나 정답 기준(최소 수혜자 최대 이익 원리)이 롤스 차등 원칙이며 교육과정의 분배 기준(업적·능력·필요)에 포함되지 않음.|자료 해석형으로 범위 경계
2015_CSAT_Q15|D|PHIL_JUSTICE|분배 방식 표/그래프에 롤스·공리주의 기준 적용||롤스 차등 원칙(최소 수혜자 최대 이익)·무지의 베일에서의 선택 원리;공리주의 총합 극대화|자료 해석 자체는 가능하나 정답 기준(최소 수혜자 최대 이익 원리)이 롤스 차등 원칙이며 교육과정의 분배 기준(업적·능력·필요)에 포함되지 않음.|자료 해석형으로 범위 경계
2015_SEPTEMBER_Q19|K||재분배 정책(사회적 약자 교육 기회 확대)에 대한 자유주의 정의관별 평가|2-02-02:EX:두 정의관에 기초하여 다양한 제도나 정책 등을 평가;;2-02-03:EX:사회 복지 제도·적극적 평등 실현 조치 등 제도적 방안||정답이 '개인 소유권 침해로 반대'와 '사회적 우연성에 따른 불평등 완화로 지지'라는 기본 입장을 정책 사례에 적용하는 것으로, 정의관에 기초한 정책 평가에 해당.|비교 대상이 공동체주의가 아닌 자유주의 내부(롤스·노직)
2017_JUNE_Q11|D|PHIL_JUSTICE|노직 소유 권리론을 소유물 이전 상황에 적용||노직 취득·이전·교정의 원리 세부(부정의한 이전 이후의 자유로운 양도)|정답이 노직의 이전·교정 원리를 알아야 판단 가능하며 제시문만으로는 소유 권리 판정 기준이 주어지지 않음.|
2022_JUNE_Q07|D|PHIL_JUSTICE|롤스 vs 노직(및 마르크스) 분배 정의론 비교||차등 원칙의 적용 범위·호혜성;기본적 자유의 조정 가능성;원초적 입장 당사자의 인지 조건·확률 계산 배제;노직 정형적/역사적 원리·취득·이전·교정 원리;최소 국가의 역할 범위;마르크스 필요에 따른 분배|선지 판단이 두 철학자의 정의론 세부 명제로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교로는 안정적으로 판단할 수 없음.|
2022_SEPTEMBER_Q10|D|PHIL_JUSTICE|롤스 vs 노직(및 마르크스) 분배 정의론 비교||차등 원칙의 적용 범위·호혜성;기본적 자유의 조정 가능성;원초적 입장 당사자의 인지 조건·확률 계산 배제;노직 정형적/역사적 원리·취득·이전·교정 원리;최소 국가의 역할 범위;마르크스 필요에 따른 분배|선지 판단이 두 철학자의 정의론 세부 명제로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교로는 안정적으로 판단할 수 없음.|
2023_CSAT_Q09|D|PHIL_JUSTICE|롤스 vs 노직(및 마르크스) 분배 정의론 비교||차등 원칙의 적용 범위·호혜성;기본적 자유의 조정 가능성;원초적 입장 당사자의 인지 조건·확률 계산 배제;노직 정형적/역사적 원리·취득·이전·교정 원리;최소 국가의 역할 범위;마르크스 필요에 따른 분배|선지 판단이 두 철학자의 정의론 세부 명제로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교로는 안정적으로 판단할 수 없음.|
2023_JUNE_Q09|D|PHIL_JUSTICE|롤스 vs 노직(및 마르크스) 분배 정의론 비교||차등 원칙의 적용 범위·호혜성;기본적 자유의 조정 가능성;원초적 입장 당사자의 인지 조건·확률 계산 배제;노직 정형적/역사적 원리·취득·이전·교정 원리;최소 국가의 역할 범위;마르크스 필요에 따른 분배|선지 판단이 두 철학자의 정의론 세부 명제로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교로는 안정적으로 판단할 수 없음.|
2023_SEPTEMBER_Q15|D|PHIL_JUSTICE|롤스 vs 노직(및 마르크스) 분배 정의론 비교||차등 원칙의 적용 범위·호혜성;기본적 자유의 조정 가능성;원초적 입장 당사자의 인지 조건·확률 계산 배제;노직 정형적/역사적 원리·취득·이전·교정 원리;최소 국가의 역할 범위;마르크스 필요에 따른 분배|선지 판단이 두 철학자의 정의론 세부 명제로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교로는 안정적으로 판단할 수 없음.|
2024_CSAT_Q14|D|PHIL_JUSTICE|롤스 vs 노직(및 마르크스) 분배 정의론 비교||차등 원칙의 적용 범위·호혜성;기본적 자유의 조정 가능성;원초적 입장 당사자의 인지 조건·확률 계산 배제;노직 정형적/역사적 원리·취득·이전·교정 원리;최소 국가의 역할 범위;마르크스 필요에 따른 분배|선지 판단이 두 철학자의 정의론 세부 명제로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교로는 안정적으로 판단할 수 없음.|
2024_SEPTEMBER_Q15|D|PHIL_JUSTICE|롤스 vs 노직(및 마르크스) 분배 정의론 비교||차등 원칙의 적용 범위·호혜성;기본적 자유의 조정 가능성;원초적 입장 당사자의 인지 조건·확률 계산 배제;노직 정형적/역사적 원리·취득·이전·교정 원리;최소 국가의 역할 범위;마르크스 필요에 따른 분배|선지 판단이 두 철학자의 정의론 세부 명제로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교로는 안정적으로 판단할 수 없음.|
2025_JUNE_Q15|D|PHIL_JUSTICE|롤스 vs 노직(및 마르크스) 분배 정의론 비교||차등 원칙의 적용 범위·호혜성;기본적 자유의 조정 가능성;원초적 입장 당사자의 인지 조건·확률 계산 배제;노직 정형적/역사적 원리·취득·이전·교정 원리;최소 국가의 역할 범위;마르크스 필요에 따른 분배|선지 판단이 두 철학자의 정의론 세부 명제로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교로는 안정적으로 판단할 수 없음.|
2026_CSAT_Q15|D|PHIL_JUSTICE|롤스 vs 노직(및 마르크스) 분배 정의론 비교||차등 원칙의 적용 범위·호혜성;기본적 자유의 조정 가능성;원초적 입장 당사자의 인지 조건·확률 계산 배제;노직 정형적/역사적 원리·취득·이전·교정 원리;최소 국가의 역할 범위;마르크스 필요에 따른 분배|선지 판단이 두 철학자의 정의론 세부 명제로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교로는 안정적으로 판단할 수 없음.|
2026_JUNE_Q19|D|PHIL_JUSTICE|롤스 vs 노직(및 마르크스) 분배 정의론 비교||차등 원칙의 적용 범위·호혜성;기본적 자유의 조정 가능성;원초적 입장 당사자의 인지 조건·확률 계산 배제;노직 정형적/역사적 원리·취득·이전·교정 원리;최소 국가의 역할 범위;마르크스 필요에 따른 분배|선지 판단이 두 철학자의 정의론 세부 명제로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교로는 안정적으로 판단할 수 없음.|
2027_SEPTEMBER_Q19|D|PHIL_JUSTICE|롤스 vs 노직(및 마르크스) 분배 정의론 비교||차등 원칙의 적용 범위·호혜성;기본적 자유의 조정 가능성;원초적 입장 당사자의 인지 조건·확률 계산 배제;노직 정형적/역사적 원리·취득·이전·교정 원리;최소 국가의 역할 범위;마르크스 필요에 따른 분배|선지 판단이 두 철학자의 정의론 세부 명제로 결정되어, 해설의 분배적 정의 기준(업적·능력·필요)과 자유주의·공동체주의 정의관 비교로는 안정적으로 판단할 수 없음.|
2021_SEPTEMBER_Q18|D|PHIL_JUSTICE|롤스 vs 노직 분배 정의론 비교||차등 원칙과 사유 재산권 제한;정형적 원리와 재분배;자연적 자산의 도덕적 임의성;공정한 절차와 분배 결과의 관계|정답이 롤스·노직 이론 세부로 결정되어 교육과정 범위를 넘어섬.|Phase 1 OCR 검토 문항
2024_JUNE_Q08|D|PHIL_JUSTICE|롤스 vs 노직 분배 정의론 비교||차등 원칙과 사유 재산권 제한;정형적 원리와 재분배;자연적 자산의 도덕적 임의성;공정한 절차와 분배 결과의 관계|정답이 롤스·노직 이론 세부로 결정되어 교육과정 범위를 넘어섬.|Phase 1 OCR 검토 문항
2025_SEPTEMBER_Q10|D|PHIL_JUSTICE|롤스 vs 노직 분배 정의론 비교||차등 원칙과 사유 재산권 제한;정형적 원리와 재분배;자연적 자산의 도덕적 임의성;공정한 절차와 분배 결과의 관계|정답이 롤스·노직 이론 세부로 결정되어 교육과정 범위를 넘어섬.|Phase 1 OCR 검토 문항
2027_JUNE_Q06|D|PHIL_JUSTICE|롤스 원초적 입장·정의 원칙||원초적 입장의 만장일치 합의·합의 준수 신뢰;기본적 자유 상호 제한 가능성;정의 원칙의 실현 가능성|편지 제시문의 롤스 정의론에서 원초적 입장 세부 조건을 판별하는 문항으로 교육과정 범위를 넘어섬.|
2015_CSAT_Q06|D|PUNISH|칸트·베카리아·루소·벤담 형벌론과 사형 존폐 논거 비교||칸트 응보주의(동등성의 원리·정언 명령으로서의 형벌);베카리아 형벌의 지속성·종신 노역형;루소 사회 계약과 사형;벤담 공리주의 형벌관|정답이 사상가별 형벌 정당화와 사형제 입장 세부로 결정되며, 교육과정은 교정적 정의(공정한 법 집행)만 다루어 형벌론·사형 논쟁을 포함하지 않음.|
2017_CSAT_Q10|D|PUNISH|칸트·베카리아·루소·벤담 형벌론과 사형 존폐 논거 비교||칸트 응보주의(동등성의 원리·정언 명령으로서의 형벌);베카리아 형벌의 지속성·종신 노역형;루소 사회 계약과 사형;벤담 공리주의 형벌관|정답이 사상가별 형벌 정당화와 사형제 입장 세부로 결정되며, 교육과정은 교정적 정의(공정한 법 집행)만 다루어 형벌론·사형 논쟁을 포함하지 않음.|
2017_JUNE_Q12|D|PUNISH|칸트·베카리아·루소·벤담 형벌론과 사형 존폐 논거 비교||칸트 응보주의(동등성의 원리·정언 명령으로서의 형벌);베카리아 형벌의 지속성·종신 노역형;루소 사회 계약과 사형;벤담 공리주의 형벌관|정답이 사상가별 형벌 정당화와 사형제 입장 세부로 결정되며, 교육과정은 교정적 정의(공정한 법 집행)만 다루어 형벌론·사형 논쟁을 포함하지 않음.|
2017_SEPTEMBER_Q14|D|PUNISH|칸트·베카리아·루소·벤담 형벌론과 사형 존폐 논거 비교||칸트 응보주의(동등성의 원리·정언 명령으로서의 형벌);베카리아 형벌의 지속성·종신 노역형;루소 사회 계약과 사형;벤담 공리주의 형벌관|정답이 사상가별 형벌 정당화와 사형제 입장 세부로 결정되며, 교육과정은 교정적 정의(공정한 법 집행)만 다루어 형벌론·사형 논쟁을 포함하지 않음.|
2018_CSAT_Q17|D|PUNISH|칸트·베카리아·루소·벤담 형벌론과 사형 존폐 논거 비교||칸트 응보주의(동등성의 원리·정언 명령으로서의 형벌);베카리아 형벌의 지속성·종신 노역형;루소 사회 계약과 사형;벤담 공리주의 형벌관|정답이 사상가별 형벌 정당화와 사형제 입장 세부로 결정되며, 교육과정은 교정적 정의(공정한 법 집행)만 다루어 형벌론·사형 논쟁을 포함하지 않음.|
2019_CSAT_Q12|D|PUNISH|칸트·베카리아·루소·벤담 형벌론과 사형 존폐 논거 비교||칸트 응보주의(동등성의 원리·정언 명령으로서의 형벌);베카리아 형벌의 지속성·종신 노역형;루소 사회 계약과 사형;벤담 공리주의 형벌관|정답이 사상가별 형벌 정당화와 사형제 입장 세부로 결정되며, 교육과정은 교정적 정의(공정한 법 집행)만 다루어 형벌론·사형 논쟁을 포함하지 않음.|
2019_JUNE_Q06|D|PUNISH|칸트·베카리아·루소·벤담 형벌론과 사형 존폐 논거 비교||칸트 응보주의(동등성의 원리·정언 명령으로서의 형벌);베카리아 형벌의 지속성·종신 노역형;루소 사회 계약과 사형;벤담 공리주의 형벌관|정답이 사상가별 형벌 정당화와 사형제 입장 세부로 결정되며, 교육과정은 교정적 정의(공정한 법 집행)만 다루어 형벌론·사형 논쟁을 포함하지 않음.|
2019_SEPTEMBER_Q10|D|PUNISH|칸트·베카리아·루소·벤담 형벌론과 사형 존폐 논거 비교||칸트 응보주의(동등성의 원리·정언 명령으로서의 형벌);베카리아 형벌의 지속성·종신 노역형;루소 사회 계약과 사형;벤담 공리주의 형벌관|정답이 사상가별 형벌 정당화와 사형제 입장 세부로 결정되며, 교육과정은 교정적 정의(공정한 법 집행)만 다루어 형벌론·사형 논쟁을 포함하지 않음.|
2020_CSAT_Q14|D|PUNISH|칸트·베카리아·루소·벤담 형벌론과 사형 존폐 논거 비교||칸트 응보주의(동등성의 원리·정언 명령으로서의 형벌);베카리아 형벌의 지속성·종신 노역형;루소 사회 계약과 사형;벤담 공리주의 형벌관|정답이 사상가별 형벌 정당화와 사형제 입장 세부로 결정되며, 교육과정은 교정적 정의(공정한 법 집행)만 다루어 형벌론·사형 논쟁을 포함하지 않음.|
2021_SEPTEMBER_Q13|D|PUNISH|칸트·베카리아·루소·벤담 형벌론과 사형 존폐 논거 비교||칸트 응보주의(동등성의 원리·정언 명령으로서의 형벌);베카리아 형벌의 지속성·종신 노역형;루소 사회 계약과 사형;벤담 공리주의 형벌관|정답이 사상가별 형벌 정당화와 사형제 입장 세부로 결정되며, 교육과정은 교정적 정의(공정한 법 집행)만 다루어 형벌론·사형 논쟁을 포함하지 않음.|
2022_CSAT_Q09|D|PUNISH|칸트·베카리아·루소·벤담 형벌론과 사형 존폐 논거 비교||칸트 응보주의(동등성의 원리·정언 명령으로서의 형벌);베카리아 형벌의 지속성·종신 노역형;루소 사회 계약과 사형;벤담 공리주의 형벌관|정답이 사상가별 형벌 정당화와 사형제 입장 세부로 결정되며, 교육과정은 교정적 정의(공정한 법 집행)만 다루어 형벌론·사형 논쟁을 포함하지 않음.|
2023_SEPTEMBER_Q12|D|PUNISH|칸트·베카리아·루소·벤담 형벌론과 사형 존폐 논거 비교||칸트 응보주의(동등성의 원리·정언 명령으로서의 형벌);베카리아 형벌의 지속성·종신 노역형;루소 사회 계약과 사형;벤담 공리주의 형벌관|정답이 사상가별 형벌 정당화와 사형제 입장 세부로 결정되며, 교육과정은 교정적 정의(공정한 법 집행)만 다루어 형벌론·사형 논쟁을 포함하지 않음.|
2014_JUNE_Q08|D|PUNISH|칸트 응보주의 사형론||칸트 응보주의(평등의 원리에 따른 사형 존치)|제시문으로 정답 추론은 가능하나 문항 내용 자체가 사형 존폐 논쟁이며 교정적 정의의 기본 개념을 넘어서는 형벌론 영역임.|제시문으로 추론 가능한 수준
2024_SEPTEMBER_Q09|D|PUNISH|칸트·베카리아·벤담·루소 형벌론·사형 존폐 비교||칸트 응보주의(정언 명령·동등성);베카리아 형벌의 지속성·사형 폐지론;벤담 공리주의 형벌관;루소 사회 계약과 사형|벤다이어그램/흐름도/보기가 사상가별 형벌 정당화 세부로 결정되며, 교육과정의 교정적 정의(공정한 법 집행)는 형벌론 비교를 포함하지 않음.|
2026_CSAT_Q11|D|PUNISH|칸트·베카리아·벤담·루소 형벌론·사형 존폐 비교||칸트 응보주의(정언 명령·동등성);베카리아 형벌의 지속성·사형 폐지론;벤담 공리주의 형벌관;루소 사회 계약과 사형|벤다이어그램/흐름도/보기가 사상가별 형벌 정당화 세부로 결정되며, 교육과정의 교정적 정의(공정한 법 집행)는 형벌론 비교를 포함하지 않음.|
2027_SEPTEMBER_Q07|D|PUNISH|칸트·베카리아·벤담·루소 형벌론·사형 존폐 비교||칸트 응보주의(정언 명령·동등성);베카리아 형벌의 지속성·사형 폐지론;벤담 공리주의 형벌관;루소 사회 계약과 사형|벤다이어그램/흐름도/보기가 사상가별 형벌 정당화 세부로 결정되며, 교육과정의 교정적 정의(공정한 법 집행)는 형벌론 비교를 포함하지 않음.|
2015_SEPTEMBER_Q09|D|PUNISH|칸트·베카리아·벤담·루소 형벌론·사형 존폐 비교||칸트 응보주의(정언 명령·동등성);베카리아 형벌의 지속성·사형 폐지론;벤담 공리주의 형벌관;루소 사회 계약과 사형|벤다이어그램/흐름도/보기가 사상가별 형벌 정당화 세부로 결정되며, 교육과정의 교정적 정의(공정한 법 집행)는 형벌론 비교를 포함하지 않음.|
2016_CSAT_Q19|D|PUNISH|칸트·베카리아·벤담·루소 형벌론·사형 존폐 비교||칸트 응보주의(정언 명령·동등성);베카리아 형벌의 지속성·사형 폐지론;벤담 공리주의 형벌관;루소 사회 계약과 사형|벤다이어그램/흐름도/보기가 사상가별 형벌 정당화 세부로 결정되며, 교육과정의 교정적 정의(공정한 법 집행)는 형벌론 비교를 포함하지 않음.|
2020_JUNE_Q19|D|PUNISH|칸트·베카리아·벤담·루소 형벌론·사형 존폐 비교||칸트 응보주의(정언 명령·동등성);베카리아 형벌의 지속성·사형 폐지론;벤담 공리주의 형벌관;루소 사회 계약과 사형|벤다이어그램/흐름도/보기가 사상가별 형벌 정당화 세부로 결정되며, 교육과정의 교정적 정의(공정한 법 집행)는 형벌론 비교를 포함하지 않음.|
2025_SEPTEMBER_Q15|D|PUNISH|베카리아 vs 칸트 형벌론||베카리아 종신 노역형·사형 폐지 논거;칸트 형벌의 정언 명령|사상가별 형벌론 세부가 정답을 결정해 교정적 정의 범위를 넘어섬.|Phase 1 OCR 검토 문항
2019_CSAT_Q02|K||공동체주의(공동체 속 도덕적 정체성·전통)의 관점|2-02-02:EX:자유주의적 정의관과 공동체주의적 정의관을 바탕으로 개인의 권리와 공동체에 대한 의무·공동선 다룸;;2-02-02:CE:내용 요소 '정의관'||정답(공동체의 전통 중시)이 공동체주의 정의관의 핵심으로 판단되며, 상대 입장의 쾌락 질적 차이 세부는 정답 판단에 필수 아님.|상대 입장이 자유주의가 아닌 공리주의
2024_JUNE_Q03|K||공동체주의(공동체 속 덕 실천·공유된 가치·공동선)|2-02-02:EX:공동체에 대한 의무와 공익(공동선) 문제를 공동체주의적 정의관으로 다룸;;2-02-02:ST:개인과 공동체의 관계를 기준으로 정의관 비교||정답(공동체를 떠나 덕을 배울 수 없음·공동체의 공유된 가치 실현)이 공동체주의 정의관의 기본 명제로 판단되며, 오답은 자유주의적 자율·공리 관점으로 배제 가능.|매킨타이어 제시문 사용
2025_JUNE_Q04|K||공동체주의(공동체 속 덕 실천·공유된 가치·공동선)|2-02-02:EX:공동체에 대한 의무와 공익(공동선) 문제를 공동체주의적 정의관으로 다룸;;2-02-02:ST:개인과 공동체의 관계를 기준으로 정의관 비교||정답(공동체를 떠나 덕을 배울 수 없음·공동체의 공유된 가치 실현)이 공동체주의 정의관의 기본 명제로 판단되며, 오답은 자유주의적 자율·공리 관점으로 배제 가능.|매킨타이어 제시문 사용
2017_JUNE_Q13|K||적극적 우대 정책 찬반 입장의 상대적 특징|2-02-03:EX:해설이 '적극적 평등 실현 조치'를 제도적 방안으로 명시||우대 정책 반대(형식적 평등)와 찬성(보상·다양성) 입장 비교로 해설 명시 개념에 직접 대응.|Phase 1 OCR 검토;좌표 그림 이미지 확인 필요
2018_JUNE_Q09|K||소수 집단 우대 정책의 정당성(보상적 정의·실질적 평등 vs 역차별·업적주의)|2-02-03:EX:해설이 '적극적 평등 실현 조치'를 명시;;2-02-01:EX:분배적 정의의 실질적 기준(업적 등)||우대 정책 찬반 논거 판단은 적극적 평등 실현 조치와 업적 기준 논의로 직접 해결됨.|
2025_SEPTEMBER_Q07|K||소수 집단 우대 정책의 정당성(보상적 정의·실질적 평등 vs 역차별·업적주의)|2-02-03:EX:해설이 '적극적 평등 실현 조치'를 명시;;2-02-01:EX:분배적 정의의 실질적 기준(업적 등)||우대 정책 찬반 논거 판단은 적극적 평등 실현 조치와 업적 기준 논의로 직접 해결됨.|
2026_CSAT_Q02|K||소수 집단 우대 정책의 정당성(보상적 정의·실질적 평등 vs 역차별·업적주의)|2-02-03:EX:해설이 '적극적 평등 실현 조치'를 명시;;2-02-01:EX:분배적 정의의 실질적 기준(업적 등)||우대 정책 찬반 논거 판단은 적극적 평등 실현 조치와 업적 기준 논의로 직접 해결됨.|
2018_SEPTEMBER_Q06|K||지역 할당제에 대한 공정한 기회·능력 기준·사회 전체 이익 관점|2-02-03:EX:공간 불평등과 적극적 평등 실현 조치·지역 격차 완화 정책;;2-02-01:EX:분배적 정의 기준으로서 능력 등 적용||교육 환경 불평등 시정을 위한 할당제 찬반을 분배 기준(능력)과 적극적 평등 실현 조치로 판단 가능.|
2014_SEPTEMBER_Q13|K||기업의 사회적 책임 범위(이윤 극대화 vs 적극적 책임·이해관계자 고려)|2-03-02:EX:해설이 '기업의 사회적 책임'을 명시;;2-03-02:ST:지속가능발전을 위해 요청되는 기업가의 역할과 책임||기업의 사회적 책임에 대한 입장 판단은 해설 명시 개념으로 직접 해결됨.|
2015_CSAT_Q09|K||기업의 사회적 책임 범위(이윤 극대화 vs 적극적 책임·이해관계자 고려)|2-03-02:EX:해설이 '기업의 사회적 책임'을 명시;;2-03-02:ST:지속가능발전을 위해 요청되는 기업가의 역할과 책임||기업의 사회적 책임에 대한 입장 판단은 해설 명시 개념으로 직접 해결됨.|
2015_SEPTEMBER_Q02|K||기업의 사회적 책임 범위(이윤 극대화 vs 적극적 책임·이해관계자 고려)|2-03-02:EX:해설이 '기업의 사회적 책임'을 명시;;2-03-02:ST:지속가능발전을 위해 요청되는 기업가의 역할과 책임||기업의 사회적 책임에 대한 입장 판단은 해설 명시 개념으로 직접 해결됨.|
2016_CSAT_Q02|K||기업의 사회적 책임 범위(이윤 극대화 vs 적극적 책임·이해관계자 고려)|2-03-02:EX:해설이 '기업의 사회적 책임'을 명시;;2-03-02:ST:지속가능발전을 위해 요청되는 기업가의 역할과 책임||기업의 사회적 책임에 대한 입장 판단은 해설 명시 개념으로 직접 해결됨.|
2016_SEPTEMBER_Q14|K||기업의 사회적 책임 범위(이윤 극대화 vs 적극적 책임·이해관계자 고려)|2-03-02:EX:해설이 '기업의 사회적 책임'을 명시;;2-03-02:ST:지속가능발전을 위해 요청되는 기업가의 역할과 책임||기업의 사회적 책임에 대한 입장 판단은 해설 명시 개념으로 직접 해결됨.|
2017_SEPTEMBER_Q11|K||시장 실패(부정적 외부 효과)와 기업의 사회적 책임|2-03-02:EX:합리적 선택의 한계로 나타나는 시장 실패와 기업의 사회적 책임을 명시||외부 효과에 대한 기업 책임 판단이 해설의 시장 실패·기업의 사회적 책임과 직접 일치.|
2016_JUNE_Q10|K||시장 경제에서 기업의 합리적 이윤 추구와 공정 경쟁|2-03-02:EX:기업가 정신과 경제 주체의 역할;;2-03-01:ST:시장과 정부의 관계를 중심으로 한 삶의 방식||비합리적 관행 타파와 합리적 이윤 추구 보장은 시장 경제에서 기업의 역할로 판단 가능.|해설 개념과의 연결이 간접적
2017_CSAT_Q09|K||합리적 소비와 윤리적 소비(노동자 권리·지속가능성 고려)|2-03-02:ST:합리적 선택의 의미와 한계;;2-03-02:EX:윤리적 소비;;2-05-02:ST:지속가능한 발전을 위한 개인적 노력||합리적 소비와 윤리적 소비, 공정 여행의 판단은 해설 명시 개념(윤리적 소비)으로 직접 해결됨.|
2020_CSAT_Q11|K||합리적 소비와 윤리적 소비(노동자 권리·지속가능성 고려)|2-03-02:ST:합리적 선택의 의미와 한계;;2-03-02:EX:윤리적 소비;;2-05-02:ST:지속가능한 발전을 위한 개인적 노력||합리적 소비와 윤리적 소비, 공정 여행의 판단은 해설 명시 개념(윤리적 소비)으로 직접 해결됨.|
2021_SEPTEMBER_Q09|K||합리적 소비와 윤리적 소비(노동자 권리·지속가능성 고려)|2-03-02:ST:합리적 선택의 의미와 한계;;2-03-02:EX:윤리적 소비;;2-05-02:ST:지속가능한 발전을 위한 개인적 노력||합리적 소비와 윤리적 소비, 공정 여행의 판단은 해설 명시 개념(윤리적 소비)으로 직접 해결됨.|
2019_SEPTEMBER_Q20|D|OTHER_OUT_OF_SCOPE|베블런 과시 소비·보드리야르 기호 소비론||베블런 유한계급의 과시 소비론;보드리야르 기호로서의 소비론|정답이 소비 사회학 이론의 세부 명제로 결정되며 교육과정은 합리적 선택과 윤리적 소비만 다룸.|
2023_CSAT_Q15|D|OTHER_OUT_OF_SCOPE|베블런 과시 소비·보드리야르 기호 소비론||베블런 유한계급의 과시 소비론;보드리야르 기호로서의 소비론|정답이 소비 사회학 이론의 세부 명제로 결정되며 교육과정은 합리적 선택과 윤리적 소비만 다룸.|
2020_CSAT_Q07|D|OCCUPATIONAL_ETHICS|내부 고발(공익 제보)의 정당성||직업 윤리의 내부 고발 정당화 논의(조직 충성 vs 시민의 의무)|교육과정은 노동자의 권익과 역할을 다루나 내부 고발 윤리는 명시되지 않은 직업 윤리 영역임.|노동자 역할과 간접 연결
2023_JUNE_Q13|D|OTHER_OUT_OF_SCOPE|베블런 유한계급의 과시 소비론||베블런 과시 소비·유한계급론 세부|정답이 과시 소비론의 세부 명제(계층 모방·명성 경쟁)로 결정되며 교육과정은 합리적 선택과 윤리적 소비만 다룸.|
2025_JUNE_Q06|D|OTHER_OUT_OF_SCOPE|베블런 유한계급의 과시 소비론||베블런 과시 소비·유한계급론 세부|정답이 과시 소비론의 세부 명제(계층 모방·명성 경쟁)로 결정되며 교육과정은 합리적 선택과 윤리적 소비만 다룸.|
2027_JUNE_Q08|D|OTHER_OUT_OF_SCOPE|베블런 유한계급의 과시 소비론||베블런 과시 소비·유한계급론 세부|정답이 과시 소비론의 세부 명제(계층 모방·명성 경쟁)로 결정되며 교육과정은 합리적 선택과 윤리적 소비만 다룸.|
2024_CSAT_Q05|K||SNS 광고 규제와 윤리적 소비·소비자 피해|2-03-02:EX:기업의 사회적 책임·윤리적 소비;;1-05-02:EX:정보화에 따른 새로운 사회문제||SNS 광고의 허위 광고 문제와 윤리적 소비 촉진을 둘러싼 쟁점은 해설 명시 개념으로 판단 가능.|
2025_SEPTEMBER_Q04|K||패스트패션의 환경 문제와 기업 규제·소비자 선택권|2-03-02:EX:정부의 역할·기업의 사회적 책임·윤리적 소비;;2-05-02:ST:지속가능한 발전을 위한 제도적 방안||패스트패션 규제 범위에 대한 토론 쟁점은 경제 주체의 역할과 지속가능발전 제도 방안으로 판단 가능.|
